index,Tipo via
33,COMO
208,ALZ
209,BST
211,CSO
212,CSO
213,CSO
214,CSO
215,CSO
216,CSO
217,CSO
218,CSO
219,CSO
220,CSO
221,CSO
222,CSO
223,CSO
224,CSO
225,CSO
226,CSO
227,CSO
228,CSO
229,CSO
230,CSO
231,CSO
232,CSO
233,CSO
234,CSO
235,FOR
236,FOR
237,LGO
238,LGO
239,LGO
240,LGO
241,LGO
242,LGO
244,PLE
245,PLE
246,PLE
247,PLE
249,PLE
248,PLE
250,PLE
251,PLE
252,PLE
253,PZA
254,PZA
255,PZA
256,PZA
257,PZA
258,PZA
259,PZA
260,PZA
261,PZA
262,PZA
263,PZA
264,PZA
265,PZA
266,PZA
267,PZA
268,PZA
269,PZA
270,PZA
271,PZA
272,PZA
273,PZA
274,VIA
275,VIA
276,VIA
277,VIA
278,VIA
279,VIA
280,VIA
281,VIA
282,VIA
283,VIA
284,VIA
285,VIA
286,VIA
287,VIA
288,VIA
289,VIA
290,VIA
291,VIA
292,VIA
293,VIA
294,VIA
295,VIA
296,VIA
297,VIA
298,VIA
299,VIA
300,VIA
301,VIA
302,VIA
303,VIA
304,VIA
305,VIA
306,VIA
307,VIA
308,VIA
309,VIA
310,VIA
311,VIA
312,VIA
313,VIA
314,VIA
315,VIA
316,VIA
317,VIA
318,VIA
319,VIA
320,VIA
321,VIA
322,VIA
323,VIA
324,VIA
325,VIA
326,VIA
327,VIA
328,VIA
329,VIA
330,VIA
331,VIA
332,VIA
333,VIA
334,VIA
335,VIA
336,VIA
337,VIA
338,VIA
339,VIA
340,VIA
341,VIA
342,VIA
343,VIA
344,VIA
345,VIA
346,VIA
347,VIA
348,VIA
349,VIA
350,VIA
351,VIA
352,VIA
353,VIA
354,VIA
355,VIA
356,VIA
357,VIA
358,VIA
359,VIA
360,VIA
361,VIA
362,VIA
363,VIA
364,VIA
365,VIA
366,VIA
367,VIA
368,VIA
369,VIA
370,VIA
371,VIA
372,VIA
373,VIA
374,VIA
375,VIA
376,VIA
377,VIA
378,VIA
379,VIA
381,VIA
380,VIA
382,VIA
383,VIA
384,VIA
385,VIA
405,VIA
406,VIA
386,VIA
387,VIA
388,VIA
389,VIA
390,VIA
391,VIA
404,VIA
397,VIA
392,VIA
393,VIA
394,VIA
395,VIA
396,VIA
398,VIA
399,VIA
401,VIA
400,VIA
402,VIA
403,VIA
407,VIA
408,VIA
409,VIA
410,VIA
411,VIA
412,VIA
413,VIA
414,VIA
415,VIA
430,VIA
416,VIA
417,VIA
418,VIA
419,VIA
420,VIA
421,VIA
422,VIA
423,VIA
424,VIA
425,VIA
426,VIA
427,VIA
428,VIA
429,VIA
431,VIA
432,VIA
433,VIA
434,VIA
435,VIA
436,VIA
437,VIA
438,VIA
439,VIA
440,VIA
441,VIA
442,VIA
443,VIA
444,VIA
445,VIA
446,VIA
447,VIA
448,VIA
449,VIA
450,VIA
451,VIA
452,VIA
454,VIA
455,VIA
453,VIA
456,VIA
457,VIA
458,VIA
459,VIA
460,VIA
461,VIA
462,VIA
463,VIA
464,VIA
465,VIA
466,VIA
467,VIA
468,VIA
469,VIA
470,VIA
471,VIA
472,VIA
473,VIA
474,VIA
475,VIA
476,VIA
477,VIA
478,VIA
479,VIA
480,VIA
481,VIA
482,VIA
483,VIA
484,VIA
485,VIA
486,VIA
488,VIA
487,VIA
489,VIA
490,VIA
491,VIA
492,VIA
493,VIA
494,VIA
495,VIA
496,VIA
497,VIA
498,VIA
499,VIA
500,VIA
501,VIA
502,VIA
503,VIA
504,VIA
505,VIA
506,VIA
507,VIA
508,VIA
509,VIA
510,VIA
511,VIA
512,VIA
513,VIA
514,VIA
515,VIA
516,VIA
517,VIA
518,VIA
519,VIA
520,VIA
521,VIA
522,VIA
523,VIA
524,VIA
525,VIA
527,VIA
526,VIA
528,VIA
529,VIA
530,VIA
531,VIA
532,VIA
533,VIA
534,VIA
535,VIA
536,VIA
537,VIA
538,VIA
539,VIA
540,VIA
541,VIA
542,VIA
543,VIA
544,VIA
545,VIA
546,VIA
547,VIA
548,VIA
549,VIA
550,VIA
551,VIA
552,VIA
553,VIA
554,VIA
556,VIA
555,VIA
557,VIA
558,VIA
559,VIA
560,VIA
561,VIA
562,VIA
563,VIA
564,VIA
565,VIA
566,VIA
567,VIA
568,VIA
569,VIA
570,VIA
571,VIA
572,VIA
573,VIA
574,VIA
575,VIA
576,VIA
577,VIA
578,VIA
580,VIA
579,VIA
582,VIA
581,VIA
583,VIA
584,VIA
585,VIA
586,VIA
587,VIA
588,VIA
589,VIA
590,VIA
591,VIA
592,VIA
593,VIA
594,VIA
595,VIA
596,VIA
597,VIA
598,VIA
599,VIA
600,VIA
601,VIA
602,VIA
603,VIA
604,VIA
605,VIA
606,VIA
607,VIA
608,VIA
609,VIA
610,VIA
611,VIA
612,VIA
613,VIA
614,VIA
617,VIA
615,VIA
616,VIA
618,VIA
619,VIA
620,VIA
621,VIA
622,VIA
623,VIA
624,VIA
625,VIA
626,VIA
627,VIA
628,VIA
629,VIA
630,VIA
631,VIA
632,VIA
634,VIA
638,VIA
633,VIA
636,VIA
635,VIA
637,VIA
639,VIA
640,VIA
641,VIA
642,VIA
644,VIA
643,VIA
645,VIA
646,VIA
647,VIA
648,VIA
649,VIA
650,VIA
651,PZA
652,VIA
653,VIA
654,VIA
655,VIA
656,VIA
657,VIA
658,VIA
659,VIA
660,VIA
661,VIA
662,VIA
663,VIA
664,VIA
665,VIA
666,VIA
667,VIA
668,VIA
669,VIA
670,VIA
671,VIA
672,VIA
673,VIA
674,VIA
675,VIA
676,VIA
677,VIA
678,VIA
679,VIA
680,VIA
681,VIA
682,VIA
683,VIA
687,VIA
684,VIA
685,VIA
686,VIA
688,VIA
689,VIA
690,VIA
691,VIA
692,VIA
693,VIA
694,VIA
695,VIA
696,VIA
697,VIA
698,VIA
699,VIA
700,VIA
701,VIA
702,VIA
703,VIA
704,VIA
705,VIA
706,VIA
707,VIA
708,VIA
709,VIA
710,VIA
711,VIA
712,VIA
713,VIA
714,VIA
715,VIA
716,VIA
717,VIA
718,VIA
719,VIA
720,VIA
721,VIA
722,VIE
723,VLE
724,VLE
725,VLE
726,VLE
727,VLE
728,VLE
729,VLE
730,VLE
731,VLE
732,VLE
733,VLE
734,VLE
735,VLE
736,VLE
737,VLE
738,VLE
739,VLE
740,VLE
741,VLE
742,VLE
743,VLE
744,VIA
745,VIA
746,VLE
747,VLE
748,VLE
749,VLE
750,VLE
751,VLE
752,VLE
753,VLE
754,VLE
755,VLE
756,VLE
757,VLE
758,VLE
761,VLE
763,VLE
762,VLE
759,VLE
760,VLE
764,VLE
765,VLE
767,VLE
766,VLE
768,VLE
769,VLE
770,VLE
771,VLE
772,VLE
773,VLE
774,VLE
775,VLE
776,VLE
777,VLE
778,VLE
779,VLE
780,VLE
781,VLE
782,VLE
783,VLE
784,VLE
785,VLE
786,VLE
787,VLE
788,VLE
789,VLE
790,VLE
791,VLE
792,VLE
793,VLO
210,CSO
243,CSO
803,CSO
804,CSO
805,CSO
806,CSO
807,CSO
808,VLE
809,CSO
810,CSO
811,CSO
812,CSO
813,VIA
814,VIA
815,VIA
816,VIA
817,VIA
818,VIA
819,VIA
820,VIA
821,VIA
822,VIA
823,VIA
824,VIA
825,VIA
826,VIA
827,VIA
828,VIA
831,VIA
829,VIA
830,VIA
832,VIA
833,VIA
834,VIA
835,VIA
836,VIA
837,VIA
838,VIA
839,VIA
840,VIA
841,VIA
842,VIA
843,VIA
844,VIA
845,VIA
846,VIA
847,VIA
848,VIA
849,VIA
850,VIA
851,VIA
853,VIA
852,VIA
854,VIA
855,VIA
856,VIA
857,VIA
858,VIA
859,VIA
860,VIA
861,VIA
862,VLE
863,VLE
864,VLE
865,VLE
866,VLE
867,VLE
869,CSO
870,CSO
871,CSO
872,GLL
873,PLE
874,PZA
875,PZA
876,PZA
877,VIA
878,VIA
879,VIA
880,VIA
881,VIA
882,VIA
883,VIA
884,VIA
885,VIA
891,VIA
892,VIA
886,VIA
887,VIA
888,VIA
889,VIA
890,VIA
893,VIA
894,VIA
895,VIA
896,VIA
897,VIA
898,VIA
899,VIA
900,VIA
901,VIA
902,VIA
903,VIA
904,VIA
905,VIA
906,VIA
907,VIA
908,VIA
909,VIA
910,VIA
